filename,width,height,class,xmin,ymin,xmax,ymax
IMG_2079_jpeg.rf.2094ba853e9b5ed3b68956ec96a155b2.jpg,640,640,BMTA-bus,0,32,640,582
IMG_2079_jpeg.rf.2094ba853e9b5ed3b68956ec96a155b2.jpg,640,640,Bus Line Number,101,60,212,113
IMG_2079_jpeg.rf.2094ba853e9b5ed3b68956ec96a155b2.jpg,640,640,Destination Sign,189,272,276,342
IMG_2079_jpeg.rf.2094ba853e9b5ed3b68956ec96a155b2.jpg,640,640,Bus Side Number,202,499,299,540
IMG_0628_JPG.rf.20ed1391165abe127d90d1c236fd095a.jpg,640,640,TSB-Bus,190,183,584,529
IMG_0628_JPG.rf.20ed1391165abe127d90d1c236fd095a.jpg,640,640,Bus Line Number,310,235,348,277
IMG_0628_JPG.rf.20ed1391165abe127d90d1c236fd095a.jpg,640,640,Destination Sign,223,233,313,275
IMG_0628_JPG.rf.20ed1391165abe127d90d1c236fd095a.jpg,640,640,Bus Side Number,340,415,378,437
IMG_3939_JPG.rf.223652d97d17d49361299e008f091f19.jpg,640,640,BMTA-bus,125,168,563,507
IMG_3939_JPG.rf.223652d97d17d49361299e008f091f19.jpg,640,640,Bus Line Number,242,197,332,228
IMG_3939_JPG.rf.223652d97d17d49361299e008f091f19.jpg,640,640,Destination Sign,351,333,458,377
IMG_3939_JPG.rf.223652d97d17d49361299e008f091f19.jpg,640,640,Bus Side Number,362,468,453,494
IMG_4214_JPG.rf.204510679a5e39a6f430455c0d454a7d.jpg,640,640,BMTA-bus,179,211,468,502
IMG_4214_JPG.rf.204510679a5e39a6f430455c0d454a7d.jpg,640,640,Bus Line Number,348,223,406,248
IMG_4214_JPG.rf.204510679a5e39a6f430455c0d454a7d.jpg,640,640,Destination Sign,402,316,447,339
IMG_4214_JPG.rf.204510679a5e39a6f430455c0d454a7d.jpg,640,640,Bus Side Number,425,437,458,448
LWQU8028_JPEG.rf.20f94ea51b078638753659c1024ba050.jpg,640,640,BMTA-bus,83,90,473,598
LWQU8028_JPEG.rf.20f94ea51b078638753659c1024ba050.jpg,640,640,Bus Line Number,208,139,312,170
LWQU8028_JPEG.rf.20f94ea51b078638753659c1024ba050.jpg,640,640,Destination Sign,258,302,341,358
LWQU8028_JPEG.rf.20f94ea51b078638753659c1024ba050.jpg,640,640,Bus Side Number,266,496,317,528
IMG_3384_JPG.rf.215902e3f6dae051d3eb0b334ac21a30.jpg,640,640,BMTA-bus,317,169,585,544
IMG_3384_JPG.rf.215902e3f6dae051d3eb0b334ac21a30.jpg,640,640,BMTA-bus,102,227,294,464
IMG_3384_JPG.rf.215902e3f6dae051d3eb0b334ac21a30.jpg,640,640,Bus Line Number,345,203,429,245
IMG_3384_JPG.rf.215902e3f6dae051d3eb0b334ac21a30.jpg,640,640,Bus Line Number,143,242,173,266
IMG_3384_JPG.rf.215902e3f6dae051d3eb0b334ac21a30.jpg,640,640,Destination Sign,387,355,463,395
